"title","composer","a2","style","key","actualKey","actualStyle","actualTempo","actualRepeats","data"
"Teach Me Tonight","Gene DePaul","","Slow Swing","Eb","","","0","0","{*AT44Eb^7 Ab7 |G-7 C7b13 |F-7 Bb7 |Gh7 C7b9 |F-7   |Bb7   |N1G-7 C7b9 |F-7 Bb7 }        |N2Eb6 Ab7 |Eb6 sG-7,Gb-7,][*BlF-7 Bb7 |G-7 C7b9 |F-7 Bb7 |Eb^7   |Ah7 D7b9 |G-7 C7 |C-7 F7 |F-7 Bb7 ][*AEb^7 Ab7 |G-7 C7b13 |F-7 Bb7 |Gh7 C7b9 |F-7   |Bb7   |Eb6 C-7 |F-7 Bb7 Z "
"Tell me a bedtime story","Herbie Hancock","","Funk","C","","","0","0","[*iT44G^9 |x |F#-7 |x |G^9 |x |sF#-7 |T54lF#-7 ][*AT44G^9 |x |F#-7 |x |G^9 |F#-7 |C^9 |x |B^9 G^9 |E^9 sC^7#11 |lB^9 G^9 |E^9 sC^7#11 ][*BSlF#-9  |B7#5  |E^9 E7#9 |Eb7#9  |D^9  ||Db7#9  |C^7#11  |x |B^9 G^9 |E^9 sC^7#11 |lB^9 G^9 |E^9 sC^7#11 ]lB7sus Bb7sus |A7sus   |Ab-9  |E-7  [T54Db-11  |Eb-11  |E-11 |F#-7 ][T44sG^9#11 |x |lF#-7 |x |E-11 |A13b9 |D^9 |sC^7#11 |lB^9 G^9 |E^9 sC^7#11 |lB^9 G^9,Q,<D.S. al Coda> |E^9 sC^7#11 ]Y[QlE^7#11 C^9 {<  Loops vamp>B^9 G^9 |E^9 sC^7#11 }lB^7#11   Z "
"Tempus Fugit","Bud Powell","","Up Tempo Swing","D-","","","0","0","{*AT44G-7 A7 |D-7   |A7   |D-7   |G-7 A7 |D-7   |E7 A7 |D-   }[*BEh7   |A7#9   |D-7   |E7#9   |A7#5   | x  |D7#9   | x  ][*AG-7 A7 |D-7   |A7   |D-7   |G-7 A7 |D-7   |E7 A7 |D-   Z "
"Tenderly","Walter Gross","","Ballad","Eb","","","0","0","*A[T44Eb^7   |Ab7   |Eb-7   |Ab7   |F-7   |Db7#11   |Eb^7   |Gh7 C7b9 ]*B[Fh7   |Bb7   |Fh7   |Bb7 Bo7 |C-7   |F7   |F-7   |Bb7   ]*A[Eb^7   |Ab7   |Eb-7   |Ab7   |F-7   |Db7#11   |Eb^7   |Gh7 C7b9 ]*C[Fh7   |Bb7 Bo7 |C-7   |F7 F#o7 |G-7 C7 |F-7 Bb7 |Eb6   |F-7 Bb7 Z"
"Tenor Madness","Sonny Rollins","","Medium Up Swing","Bb","","","0","0","[T44Bb7   |Eb7   |Bb7   | x  |Eb7   | x  |Bb7   | x  |C-7   |F7   |Bb7   |F7   Z"
"Thanks For The Memory","Leo Robin","","Medium Swing","F","","","0","0","{*AT44G-7 C7 |F6   |ppF#o7 |sG-7,C7,lF6 |F#o7 G-7 |Ao7 Bb6 |G-7   |N1C7   }            |N2Eh7 A7b5 ][*BAb^7   |Bb-7 Eb7 |Ab^7   |Ao7   |C^7 A-7 |D-7 G7 |G-7   |C7#5   ][*AG-7 C7 |F6   |ppF#o7 |sG-7,C7,lF6 |F#o7 G-7 |Ao7 Bb6 |G-7 C7 |F6 D7b9 Z "
"That Old Black Magic","Harold Arlen","","Medium Swing","Eb","","","0","0","[*AT44Eb^7 |x |x |x |x |x |F-7 |Bb7 |F-7 |Bb7 | r|  | r|  |sG-7,C7,|F-7,Bb7,][*BlEb^7 |x |x |x |x |x |lDb7 |x |F-7 |Bb7 |G-7 |Gbo7 |F-7 |Bb7 |Eb6 |sDh,G7,][*ClC-7 |x |Ab7#11 |x |G7 |x |C7 |x |F-7 |x |Ab-7 |Db7 |Ab-7 |Db7 |sG-7,C7,|F-7,Bb7,][*DlEb^7 |x |x |x |lBb-7 |Eb7 | r|  |Ab^7 |x |Db7 |x |F-7 |Bb7 |G-7 |Gbo7 |F-7 |x |Ab-7 |Db7 |F-7 |Bb7sus |Eb6 |sF-7,Bb7Z "
"That Old Devil Called Love","Doris Fisher","","Medium Swing","Eb","","","0","0","{,*A,T44F-7 Eo7 |F-7 sBb7,Bb7/Ab,|lG-7 Ab9#11 |G-7 C9 |F9   |Ab-6   |N1G-7 F#o7 |F-7 C7b9 }        |N2F-7 F-7/Bb |Eb69 Gbo7 ][,*B,F-7 Bb9 |G-7 Gb-7 |F-7 Bb13 |Eb69 Db9 |C-6 Bo7 |C-7/Bb Ah7 |C-9 F13 |F-7 C7b9 ][,*A,F-7 Eo7 |F-7 sBb7,Bb7/Ab,|lG-7 Ab9#11 |G-7 C9 |F9   |Ab-6   |F-7 F-7/Bb |Eb69   Z "
"That Old Feeling","Brown-Fain","","Ballad","C","","","0","0","[*AT44C69   | x  |Eh7   |A7   |D-7  (A7#5) |D-7   |F-7(Eb-7)  (Ab7) |G7(D-7)  (E7) |A-7   |E7#5   |Eh7   |A7   |D7(A-7)   |A-7(D7) D7 |Ab7(D-7)   |D-7(G7) G7 ][*BC69   | x  |Eh7   |A7   |D-7  (A7#5) |D-7   |F7(Fh7)   |E7(B7)   |Eh7(F-7)  (Bb7) |A7b9(Eh7)  (A7b9) |D-7   |F-7 Bb7 |A-7(C^7)  (B7) |D7(Bb7)  (A7) |D-7 G7 |C69   Z "
"That's All","Haymes-Brandt","","Medium Swing","Bb","","","0","0","*A{T44Bb^7 C-7 |D-7 sC-7,F7,l|Bb^7 Eb7 |D-7 G7 |Eh7 Eb-7 |Bb^7/D G7#9 |C-7 F7 |N1sD-7,G7,C-7,F7,l}            |N2Bb6   ]*B[F-7 Bb7 |G-7 C-7 |F-7 Bb7 |Eb^7   |G-7 C7 |A-7 D-7 |G-7 C7 |C-7 F7 ]*A[Bb^7 C-7 |D-7 sC-7,F7,l|Bb^7 Eb7 |D-7 G7 |Eh7 Eb-7 |Bb^7/D G7#9 |C-7 F7 |Bb6 F7 Z"
"That's Life","Kay-Gordon","","Slow Swing","C","","","0","0","[*AT44C   |E7   |A-7  sEb7,|lD7  sF-,|lC sB-7,Bb7,|lA-7   |D9   |D-7 G9 ][*AC   |E7   |A-7  sEb7,|lD7  sF-,|lC sB-7,Bb7,|lA-7   |D9 G9 |C   ][*BC7   | x  |F6   |F6  sEb7,|lD7   | x  |G7   | x  ][*AC   |E7   |A-7  sEb7,|lD7  sF-,|lC sB-7,Bb7,|lA-7   |D9 G9 |,U,C Bb7 |D9 G9 Z "
"Thelonious","Thelonious Monk","","Medium Swing","Bb","","","0","0","{*AT44Bb Ab7 |Gb7 F7sus |E7 Eb7 |D7 Db7 |C7sus F7sus |Gb Cb7b9b5 |N1Bb7 Eb7 |Gb7 F7 }|N2Bb7 Eb7 |Gb7 F7 |C-11 F7 |Bb^7   ][*BD7   |Eb-7 Ab7 |D7#5   |Db7   |Db9   |G7#5   |C7b5   |F7sus   ][*ABb Ab7 |Gb7 F7sus |E7 Eb7 |D7 Db7 |C7sus F7sus |Gb Cb7b9b5 |Bb7 Eb7 |Gb7 F7 |C-11 F7 |Bb^7   Z "
"Them There Eyes","Tracy-Tauber-Pinkard","","Up Tempo Swing","Ab","","","0","0","*A[T44Ab^7   | x  | x  | x  |Ab6   |F7   |Bb7   | x  ]*B[Bb-7   |Eb7   |C7   |F-7   |Bb7   | x  |Eb7   | x  ]*A[Ab^7   | x  | x  | x  |Ab7   | x  |Db^7   | x  ]*C[Db^7   |Do7   |Ab^7/Eb   |Bb7 Eb7 |Ab^7   |F7   |Bb7 Eb7 |Ab6 Eb7 Z"
"Theme, The","Miles Davis","","Up Tempo Swing","Bb","","","0","0","*A{T44Bb^7 G7 |C-7 F7 |D-7 G7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |N1D-7 G7 |C-7 F7 }        |N2C-7 F7 |Bb6   ]*B[D7   | x  |G7   | x  |C7   | x  |F7   | x  ]*A[Bb^7 G7 |C-7 F7 |D-7 G7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   Z"
"There Is No Greater Love","Isham Jones","","Medium Swing","Bb","","","0","0","*A{T44Bb^7   |Eb7   |Ab7   |G7   |N1C7   | x  |C-7   |F7   }|N2C7   |C-7 F7 |Bb6   | x  ]*B[Ah7 D7b9 |G-6   |Ah7 D7b9 |G-6   |Ah7 D7b9 |G-7   |C7   |F7   ]*A[Bb^7   |Eb7   |Ab7   |G7   |C7   |C-7 F7 |Bb6   |C-7 F7 Z"
"There Will Never Be Another You","Harry Warren","","Medium Up Swing","Eb","","","0","0","*A[T44Eb^7   | x  |Dh7   |G7b9   |C-7   | x  |Bb-7   |Eb7   ]*B[Ab^7   |Db7#11   |Eb^7   |C-7   |F7   | x  |F-7   |Bb7   ]*A[Eb^7   | x  |Dh7   |G7b9   |C-7   | x  |Bb-7   |Eb7   ]*C[Ab^7   |Db7#11   |Eb^7   |Ah7 D7 |Eb^7 Ab7 |G-7 C7 |F-7 Bb7 |Eb6 Bb7 Z"
"There'll Be Some Changes Made","Benton Overstreet","","Medium Swing","Bb","","","0","0","[*AT44G7   | x  |C7   | x  |D7   |G7   |C7   |ppF7 ][*BG7   | x  |C7   | x  |D7   |G7   |C7 F7 |Bb6 G7 |C7 F7 |UBb6<Fine> sA7,Ab7] "
"There's A Lull In My Life","Harry Revel","","Ballad","F","","","0","0","{*AT44F^7 sG-7,A-,|lBb^7 A-7 |G-7 sA-7,Bb^,|lA-7 G-7 |F6 sG-7,A-|lBb^7 sG-7,C7|N1lF6 D-7 |G-7 C7 }        |N2F6 Eb7#11, |F6   ][*BEb-7 Ab7 |Eb-7 Ab7 |Db^7 Ab7sus, |Db^7   |F^7 F#o7 |G-7 C7 |F#o7   |G-7 C7 ][*AF^7 sG-7,A-,|lBb^7 A-7 |G-7 sA-7,Bb^,|lA-7 G-7 |F6 sG-7,A-,|lBb^7 sG-7,C7,|lA-7   |D7   |Ab  "
"There's A Small Hotel","Richard Rodgers","","Medium Swing","Eb","","","0","0","T44{*AEb^7 Eb6 | x  |Eb^7 Ab7 |G-7 Gbo7 |F-7 Eo7 |F-7 Bb7 |Eb^7 C-7 |N1F-7 Bb7 }            |N2Bb-7 Eb7 ][*BAb^7   |Bb-7 Eb7 |Ab^7   |G-7 C7b9, |F-7   |G-7 C7b9, |C7b9, F-7 |Fh7 Bb7 ][*AEb^7 Eb6 | x  |Eb^7 Ab7 |G-7 Gbo7 |F-7 Eo7 |F-7 Bb7,Q |Eb^7   |F-7 Bb7 ]     Y  Q |Gb^7   |Ab-7 Db7 |Eb^7   |F-7 Bb7 |Eb^7   | x  Z "
"There's No You","Hal Hopper","","Ballad","F","","","0","0","T44{*AF^7   |Eb7   |F^7   |Db7   |F^7   |A-7 Abo7 |N1G-7   |C7   }        |N2G-7 C7 |F^7   ][*BC-7 F7 |C-7 F7 |Bb^7 F7#5, |Bb^7   |D-7 G7 |D-7 G7 |G-7   |C7   ][*AF^7   |Eb7   |F^7   |Db7   |F^7   |A-7 Abo7 |G-7 C7 |F^7  (C7) Z "
"These Foolish Things","Strachey-Link","","Ballad","Eb","","","0","0","*A{T44Eb^7 C-7 |F-7 Bb7 |Eb^7 C-7 |F-7 Bb7 |Bb-7 Eb7 |Ab^7 sG7,C7,l|N1F7   |F-7 Bb7 }        |N2F7 Bb7 |Eb6 sAh,D7,l]*B[G-7 Eh7 |Ah7 D7b9 |G-7   |C7 F7 |Bb^7 G-7 |C-7 F7 |Bb7 Eo7 |F-7 Bb7 ]*A[Eb^7 C-7 |F-7 Bb7 |Eb^7 C-7 |F-7 Bb7 |Bb-7 Eb7 |Ab^7 sG7,C7,l|F7 Bb7 |Eb6 sF-7,Bb7,lZ"
"They All Laughed","George Gershwin","","Medium Swing","G","","","0","0","{*AT44G^7 E-7 |A-7 D7 |A-7 D7 |G^7 D7sus |G^7 E-7 |A-7 D7 |G^7   |A-7 D7 |G^7, E-7 |A-7 D7 |G7 F#7#5 |B-7 E9 |A9   |E-7 A7 |A-7   |D7 D7#5 ][*BG7   |D-7 G7 |Bh7   |E7#5   |A9   |E-7 A9 |A-7   |D7 D7#5 ][*CG^7 E-7 |A-7 D7 |F9 sE7,sE7/D,|lC#h7 C-6 |B-7 E7 |A-7 D7 |G^7 E-7 |A-7 D7 Z "
"They Can't Take That Away From Me","George Gershwin","","Medium Swing","Eb","","","0","0","*A{T44Eb^7 F-7 |G-7 Gbo7 |F-7   |Bb7sus   |Bb-7   |Eb7   |N1Ab^7 sG-7,C7,l|F-7 Bb7sus }        |N2Ab^7 Bb7 |Eb6 sAh,D7,l]*B[G-7 D7b9 |G-7 D7b9 |G-7 Eh7 |Ah7 D7b9 |G-7 D7b9 |G-7 C7 |F7   |Bb7sus   ]*A[Eb^7 F-7 |G-7 Gbo7 |F-7   |Bb7sus   |Bb-7   |Eb7   |Ab^7 Bb7 |Eb6 Ab-6 |G7 C7 |F7 Bb7 |Eb6   |Bb7sus   Z"
"They Didn't Believe Me","Jerome Kern","","Medium Swing","G","","","0","0","T44[*AA-7   |D7   |G^7   |B-7 E7 |A-7   |D7   |G^7   |E-7   |A-7   |D7   |B-7   |E-7   |B-7   |C#h7 F#7b13 |B-7   |E7   ][*BA-7   |D7   |G^7   |E-7   |A-7   |D7   |G^7 F7b5 |E7   |A-7   |D7   |G^7 A-7 |B-7 E7 |A-7   |D7   |G^7   | x  Z "
"They Say","Heyman-Mann-Weiss","","Medium Swing","C","","","0","0","{T44C A-7 |C^7 Co |D-7   |G7   |C A-7 |C^7 Co |D-7   |G7   ||C7   |F   |E7   |A-7   |N1D7   | x  |G7   |G#7 G7 }|N2C A-7 |C^7 Co |D-7 G7 |C   ] "
"They Say It's Wonderful","Irving Berlin","","Medium Swing","F","","","0","0","*A{T44G-7   |Gh7 C7b9 |F^7   |A-7 Abo7 |Gh7   |C7b9   |N1F^7   |A-7 D7 }        |N2F^7   |C-7 F7 ]*B[Bb^7   |Eb7#11   |F^7 G-7 |A-7 E7 |A-7   |Bh7 E7b9 |A-7 D7 |Ab-7 Db7 ]*C[G-7   |Gh7 C7b9 |Ah7   |D7b13   |G-7   |C7   |UF6   |D7b9   Z"
"Things Ain't What They Used To Be","Duke Ellington","","Medium Swing","Db","","","0","0","[T44Db7   |Gb7   |Db7   | x  |Gb7   | x  |Db7   | x  |Eb-7   |Ab7   |Db7 Bb7 |Eb-7 Ab7 Z"
"Things We Did Last Summer, The","Cahn-Styne","","Medium Swing","F","","","0","0","*A{T44F^7 D-7 |G-7 C7 |F^7 Bb7 |Ah7 D7b9 |G-7 C7 |A-7 D7 |G-7 C7 |N1sA-7,D7,G-7,C7,}            |N2lF6   ]*B[C-7 F7 | x  |Bb^7 F7 |Bb^7   |D-7 G7 | x  |C7 Ab7 |G-7 C7 ]*A[F^7 D-7 |G-7 C7 |F^7 Bb7 |Ah7 D7b9 |G-7 C7 |A-7 D7 |G-7 C7 |F6 C7 Z"
"Think Of One","Thelonious Monk","","Medium Swing","F","","","0","0","{*AT44F B7b5 |D-7 Eb9 |Ab13 Db7 |Gb13   |F B7 |D-7 Eb9 |Ab7 Db7 |Gb7   }[*BC-7/F   |F7b9   |Bb^7   |G7b9   |G7b9   |G7b5   |G-7   |C7b9#11   ][*AF, B7b5 |D-7 Eb9 |Ab13 Db7 |Gb13   |F B7b5 |D-7 Eb9 |,U,<Fine>Ab7 Db7 |Gb7   Z "
"This Can't Be Love","Richard Rodgers","","Medium Swing","F","","","0","0","*A[T44F^7   | x  |Bb7   | x  |F^7   |D-7   |G-7   |C7   ]*A[F^7   | x  |Bb7   | x  |A-7 D-7 |G-7 C7 |F6   | x  ]*B[E-7   |A7   |D-7   | x  |Ah7   |D7b9   |G-7   |C7   ]*A[F^7   | x  |Bb7   | x  |A-7 D-7 |G-7 C7 |F6   | x  Z"
"This Could Be The Start Of Something Good","Steve Allen","","Up Tempo Swing","Eb","","","0","0","{*AT44Eb^7   |C-7   |F-11   |Bb9 C7#5 |F-7   |Bb7   |C-7 B7 |Bb-7 A7b5 |Ab^7   |Ao7   |G-7/Bb   |C7b9   |Y|F-7   |Bb7,   |N1G-7 Gb7 |F-7 Bb7, }        |N2Eb6   | x  ][*BBb-7 |Eb7, | r|  | r|  |Bb-6 |Eb7 |Ab^7 |sBb-7,Eb7,|lAb^7 |x |x |F7,<D.C. al 3rd End.> |Bb7sus, |Bb7 ]        Y|N3Eb6   |Bb7   Z "
"This I Dig Of You","Hank Mobley","","Medium Up Swing","Bb","","","0","0","[*AT44Bb^7/F   |C-7/F   |D-7/F   |C-7/F   |D-7/F   |C-7/F   |Bb^7/F   |F-7 Bb7 ][*BEb^7   |Eh7 A7b9 |D-7   |G7   |C#-7   |F#7   |C-7   |F7   ][*ABb^7/F   |C-7/F   |D-7/F   |C-7/F   |D-7/F   |C-7/F   |Bb^7/F   |F-7 Bb7 ][*CEb^7   |Eh7 A7b9 |D-7   |G7   |C-7   |F7   |Bb^7   | x  Z "
"This Is All I Ask","Gordon Jenkins","","Ballad","F","","","0","0","T44[*AF^7   |D7b9,   |G-7 C7b9, |F^7   |F^7 D-7 |G-7 C7#5, |F^7   |Bh7 E7 ][*BA-7   | x  |D7   | x  |G7   | x  |C7   |C7#5, C7 ][*AF^7   |D7b9,   |G-7 C7b9, |F^7   |F^7 D-7 |G-7 C7#5, |F^7   |A7b9#5,   ][*CBb6   |Bh7 E7b9, |A-7   |D7#5,   |G-7   |C7   |F6   |G-7 C7 Z "
"This Is New","Kurt Weill","","Ballad","C-","","","0","0","*A[T44C-6   |G7alt   |C-7   |F7   |Bb-7   |F7b13   |Bb-7   |Bb7b13   |Eb-7   | x  |Ab7b13   | x  |Db-7   | x  |E7 Eb7 |D7 G7b9 ]*B[C-6   |G7alt   |C-7   |Eb-7 Ab7 |Db^7   |Gh7 C7b9 |F-6   |F7b9   |Bb-7   |Eb7b9   |C-7   |F-7   |Bbh7   |Eb7b13   |Ab-7   |Dh7 G7b9 Z"
"This Masquerade","Leon Russell","","Rock Pop","F-","","","0","0","*i{T44F-7   |Bb13   |F-7   |<Vamp till cue>Bb13   }S*A[F-,   |F-^7   |F-7   |Bb13   |F-   |Db7   |Gh7   |C7#9   |F-   |F-^7   |F-7   |Bb13   |Db7   |Gh7 C7b9,Q |F-   |F- sE-7,A7,]*B[lEb-7   |Ab13b9   |Db^7   |Bb7b13   |Eb-7   |Ab13b9   |Db^7   | x  |D-7   |G13 G7b13 |C^7   | x  |G-7   |G13 G7b13 |C9sus   |<D.S. al Coda>Gb7#11   ZYQ{<Open>F-7   |Bb13   |F-7   |<D.C. on Cue>Bb13   } "
"This Time The Dream's On Me","Harold Arlen","","Medium Up Swing","G","","","0","0","{*AT44G^7 F9 |E7   |A-7   |C-6 D7 |F9 E7 |A-7 D7 |N1G^7 Abo7 |A-7 D7 }        |N2G^7 Ah7 |G^7   ][*BF#-7   |B9   |B-9   |E9   |C#h7 C-6 |B-7 Bbo7 |A-7 Abo7 |A-7 D13b9 ][*AG^7 F9 |E7   |A-7   |C-6 D7 |F9 E7 |A-7 D7 |G^7 Ah7 |B-7 D13b9 Z "
"This Year's Kisses","Irving Berlin","","Medium Swing","G","","","0","0","T44{*AG^7   |ppG#o7 |A-7 D7 | x  |N1G^7 G#o7 |A-7 D7 }N2G^7   |D-7 G7 ][*BC^7   | x  |C-7   | x  |G^7   |A7   |A-7   |D7   ][*CG^7   |ppG#o7 |A-7 D7 | x  |B-7 E7 |A-7 D7 |G6 Bbo7 |A-7 D7 Z "
"Thou Swell","Richard Rodgers","","Medium Up Swing","Eb","","","0","0","*A[T44F-7   |Bb7   |F-7   |Bb7   |Eb^7   |Ab13   |Eb^7   |Ah7 D7b9 ]*B[G-7 C7 |F-7 Bb7 |Eb^7   |Bb-7 Eb7 |Ab6 G7 |C-7 F7 |Bb7   |G-7 C7 ]*A[F-7   |Bb7   |F-7   |Bb7   |Eb^7   |Ab13   |Eb^7   |Ah7 D7b9 ]*C[G-7 C7 |F-7 Bb7 |Db7   |C7   |F-7   |Bb7   |Eb6   | x  Z"
"Three Little Words","Harry Ruby","","Medium Up Swing","C","","","0","0","*A{T44C^7   | x  | x  |Eb-7 Ab7 |D-7   |G7   |D-7   |G7   }*B[G-7   | x  |C7sus   |C7   |F^7   | x  |Bb7 A7 |Ab7 G7 ]*A[C^7   | x  | x  |Eb-7 Ab7 |D-7   |G7   |D-7   |G7   Z"
"Thrill Is Gone, The","Ray Henderson","","Ballad","C-","","","0","0","T44{*AC-7   |G7b13   |C-7   |F7   |F-7 Bb7 |sAb7,Db7,lEb^7 |Db^7 Dh7 |G7b9, C-7 |Dh7 G7b9, |C-7 Ah7 |Dh7   |G7b9,   }[*BC-7/Bb,   |Ah7   |Ab7#11,   |C-7/G   |F-7   |Db7#11   |Dh7   |G7b9   |Ab^7   |Dh7 G7b9 |C-6   | x  Z "
"Thriving From A Riff","Charlie Parker","","Up Tempo Swing","Bb","","","0","0","*A{T44Bb^7 G7 |C-7 F7 |D-7 G7 |C-7 F7 |Bb^7 Bb7 |Eb7 Ab7 |N1D-7 G7 |C-7 F7 }        |N2C-7 F7 |Bb6   ]*B[D7   | x  |G7   | x  |C7   | x  |F7   | x  ]*A[Bb^7 G7 |C-7 F7 |D-7 G7 |C-7 F7 |Bb^7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   Z"
"Tickle-Toe","Lester Young","","Up Tempo Swing","Db","","","210","0","[*AT44Bb-7 F7 | x  |Bb-7   |Bb7   |Eb-7 Bb7 | x  |Eb-7   |Ab-7 Db7 ][*BGb7   |B7   |Db^7   |F-7 Bb7 |Eb7   |Bb-7, Eb7, |Eb7   |Ab7 F7 ][*ABb-7 F7 | x  |Bb-7   |Bb7   |Eb-7 Bb7 | x  |Eb-7   |Ab-7 Db7 ][*BGb7   |B7   |Db^7   |Bb7   |Eb7   |Ab7   |Db^7   |Ch7 F7b9 Z "
"Till There Was You","Meredith Wilson","","Ballad","Eb","","","0","0","T44{*AEb^7   |Eo7   |F-7   |Ab-7 Db7 |G-7 Gbo7 |F-7 Bb7 |N1G-7 Gb7 |F-7 Bb7 }        |N2Eb6 Ab-6 |Bb-7 Eb7 ][*BAb^7   |Ao7   |Eb^7   |C7   |F-7   |F7   |F-7   |Bb7#5   ][*AEb^7   |Eo7   |F-7   |Ab-7 Db9 |G-7 Gbo7 |F-7 Bb7 |Eb^7   |F-7 Bb7 Z "
"Time After Time","Jule Styne","","Medium Swing","C","","","0","0","*A[T44C^7 A-7 |D-7 G7 |C^7 A-7 |D-7 G7 |C^7   | x  |Bh7   |E7b9   |A- A-/G |F#h7 B7b9 |E-7   |A7b9   |D-7   |Eh7 A7b9 |Ab7#11   |G7   ]*B[C^7 A-7 |D-7 G7 |C^7 A-7 |D-7 G7 |C^7   |G-7 C7 |F^7   |F-6 Bb7 |C6   |F#h7 F-6 |E-7 A-7 |D7 F-6 |C6 A-7 |D-7 G7 |C6 A-7 |D-7 G7 Z"
"Time On My Hands","Vincent Youmans","","Ballad","F","","","0","0","*A{T44F^7   | x  |Bh7   |E7b9   |G-7   | x  |N1C7   | x  }        |N2Eh7   |A7b9   ]*B[D7alt   | x  |G7#11   |G-7 C7 |D-7   |G7   |G-7   |C7   ]*C[F^7   |Bb7#11   |A7#9   |D7b13   |G7#11   |C7   |F6 D7 |G-7 C7 Z"
"Time Remembered","Bill Evans","","Ballad","B-","","","0","0","[T44B-9   |C^7#11   |F^7#11   |E-9   |A-9 D-9 |G-9   |Eb^7#11   |Ab^7#11   |A-9   |D-9   |G-9   |C-9   |F-11   |E-9   |B-9   | x  |Eb-9   |A-9   |C-9   |F#-9   |B-9   |G-9   |Eb^7#11   |D-7   |C-9   | x  Z"
"Tin Tin Deo","Dizzy Gillespie","","Latin","G-","","","0","0","{*AT44G-6 F-6, |Eb^7, D7#5, |G-6, E7, |Ah7, Ab7 |G-6, F-6, |Eb^7, D7#5, |G-7, C7, |F7, E7b5, ][*BD7,   | x  |G-6,   | x  |D7,   | x  |G-6,   | x  }[*CC-7,   |C-7, F7b9, |Bb^7, Eb7, |D-7, G7b9 |C-7,   |C-7, F7b9, |Bb^7, Eh7 |Ab7b9, Eh7 ][*BD7,   | x  |G-6,   | x  |D7,   | x  |G-6,   | x  Z "
"Tiny Capers","Clifford Brown","","Medium Up Swing","Bb","","","0","0","*A{T44Bb6 D7 |G-7 Bb7 |Eb^7 G7 |C-7 C#o7 |D-7 Eb7 |D-7 G7 |N1G-7 C7 |C-7 F7 }        |N2C-7 F7 |Bb7   ]*B[Eb7b9   | x  |Bb7#11   | x  |Eb7b9   |Eb-7 Ab7 |D-7 G7 |C-7 F7 ]*A[Bb6 D7 |G-7 Bb7 |Eb^7 G7 |C-7 C#o7 |D-7 Eb7 |D-7 G7 |C-7 F7 |Bb6 F7 Z"
"Tippin'","Horace Silver","","Medium Up Swing","Bb","","","0","0","T44{*ABb6 G7b9 |C-7 C#o7 |Bb/D G7b9 |C-7 F7 |Bb7   |N1Eb6 Eo7 |Bb/F G7b9 |C7 F7 }    |N2Eb6 Eo7 |Bb/F G-7 |C-7 sF7,Bb,][*BlA-7   |D7   |Ab-7   |Db7   |G-7   |C7   |Ch7   |F7   ][*ABb6 G7b9 |C-7 C#o7 |Bb/D G7b9 |C-7 F7 |Bb7   |Eb6 Eo7 |Bb/F G-7 |C7 sF7,BbZ "
"Tis Autumn","Henry Nemo","","Ballad","Eb","","","0","0","T44{*AF-7   |Bb7#5   |Eb^7 F-7 |G-7 C7b9 |F-7 Db7#11 |C-7 F13, |F-7 Bb13, |N1Eb6 C7b9#5, }            |N2Eb6   ][*BBb-7 Eb7 | x  |Ab6 Eb7b9#5 |Ab6   |C-7 F7 | x  |F-7 C7#9#5, |F7 Bb7 ][*AF-7   |Bb7#5   |Eb^7 F-7 |G-7 C7b9 |F-7 Db7#11 |C-7 F13 |F-7 Bb13 |UEb6 C7b9#5 Z "
"Tokyo Blues","Horace Silver","","Medium Swing","C-","","","0","0","[*AT44Db7   | x  |C-7   | x  |Db7   | x  |C-7   | x  |Db7   | x  |C-7   | x  |Eb7   |D7b13 G7b9 |C-7   | x  Z "
"Tones For Joan's Bones","Chick Corea","","Medium Swing","D","","","0","0","T44|*i< Intro played half time>E-7   | x  |Eh7   |ppEb7 ][*A<Med. swing>D^7   | x  |Bb^7#11/D,   | x  |F7b9/D,   |ppF7b9, |Bb^7 Ab-7 |Gb^7 F7 |Bbh7   | x  |Eb7#9,   | x  |Ab-7   |Ab-7/Gb,   |Bb7b9/F,   |E^7#11,   ][*BEb^7   |Gb^7   |F^7   |Ab^7   |C^7   |Eb^7   |Db-^7   |ppA7b9 ][*AD^7   | x  |Bb^7#11/D,   | x  |F7b9/D,   |ppF7b9, |Bb^7   | x  |E-7   |A7 Bbo7 |B-7   |E7   |E-7 F#-7 |F-7 Bb7 |Eb^7 D-7 |C-7 F7 |E-7 F#-7 |G^7 A7b9, |Eb^7#11,   | x  Z "
"Tonight","Bernstein-Sondheim","","Bossa Nova","G","","","0","0","[*AT44Gadd9   |A7,   |Gadd9,   |A7,   |Gadd9,   |E-7,   |F#-7,   |F7,   |Bb^7,   |C7/Bb,   |Bb7,   |C-7,   |C-7,   |Ah7,   |D,   |D7,   ][*BEb^7,   | x  |Ah7, C-7, |C-7,   |Db^7,   |Bb-7,   |A, A7, |A7b5,   |Gadd9,   |A7,   |Gadd9, G6, |E-7,   |B-7,   |A-7, D7, |G^7,   | x  Z "
