"title","composer","a2","style","key","actualKey","actualStyle","actualTempo","actualRepeats","data"
"Across The Alley From The Alamo","Joe Greene","","Medium Swing","F","","","0","0","{*AT44F^7,   | x  | x  | x  |C7,   | x  |N1G-7, C7, |F^7,   }        |N2G-7, C7, |F^7,   ]Y[*BBb^7,   |F^7,   |Bb^7, Bb-7, |F^7,   |A7,   |D-7, G7, |G7,   |C7,   ]Y[*AF^7,   | x  | x  | x  |C7,   | x  |G-7, C7, |F^7   Z "
"Adam's Apple","Wayne Shorter","","Even 8ths","Ab","","","0","0","[T44Ab7   | x  | x  | x  | x  | x  | x  | x  |Gb7   | x  | x  | x  |Ab7   | x  | x  | x  |Ab-7   |Db7   |Bb-7   |Eb7#9   |Ab7   | x  | x  | x  Z"
"Affirmation","José Feliciano","","Funk","B-","","","0","0","{*AT44E-9   | x  |B-7   | x  |E-9   | x  |B-9   | x Q | x  |A-7 D7 |N1G^7   | x  |E9   | x  |A7sus   | x  }        |N2G^7   |C9   |F#-7 F9 |E-7 Eb9 |D^7   | x  ][*BBb^7   | x  | x  | x  | x  | x  |A7sus   | x  ]Y{QB-7/D   | x  | x  | x  } "
"African Queen, The","Horace Silver","","Latin","C-","","","0","0","[*AT44C-9 Db9 | x  |   r|    |C-9, Db9 | x  |   r|    ][*AC-9 Db9 | x  |   r|    |C-9, Db9 | x  |   r|    ][*BBb7 A7 |Ab7 G7 |C-9 Db9 | x  |C-9, Db9 | x  Z "
"Afro Blue","Mongo Santamaria","","Waltz","F-","","","0","0","[T34F-7   |G-7   |Ab^7 G-7 |F-7   |F-7   |G-7   |Ab^7 G-7 |F-7   |Eb   | x  |Db Eb |F-7   |Eb   | x  |Db Eb |F-7   Z"
"Afro Centric","Joe Henderson","","Up Tempo Swing","Db","","","0","0","[T44Db^7#11   | x  | x  | x  |C-7   | x  | x  | x  |Db^7#11   | x  | x  | x  |Ab^7#11   | x  | x  | x  |Gb^7#11   | x  | x  | x  |F-7   |Gb^7#11   |F-7   |Gb^7#11   |Gh7   |C^7#11   Z"
"After You","Cole Porter","","Ballad","C","","","0","0","[*AT44C^7   |G7b9   |C^7 G7#5 |C^7 E7#5 |A-7   |D7   |D-7   |G7b9   |C^7   |G7b9   |C^7 G7#5 |C^7 E7#5 |A-7   |D7   [*BG^7   |D7b9   |G-7   |C7   |F^7 C7b9 |F69   |F-7   |Bb9   |D-7b5   |G7b9   ][*CC^7   |G7b9   |C^7 A7 |D-7 F-6 |E-7 A-7 |D7 G7 |C69   | x  Z "
"After You've Gone","Henry Creamer","","Up Tempo Swing","Bb","","","0","0","[*AT44Eb^7   | x  |Eb-6   |Ab7   |Bb^7   | x  |D-7   |G7   ][*BC7   | x  |F7   | x  |Bb6   | x  |F-7   |Bb7   ][*AEb^7   | x  |Eb-6   |Ab7   |Bb^7   | x  |D-7   |G7   ][*CC-7   |G7   |C-7   |Eb-^7 Ab7 |Bb^7   |A-7 D7 |G-7 G-7/F |Eo7   |Bb6/F   |G7   |C-7   |F7   |UBb6   | x  |F-7   |Bb7   Z "
"Afternoon In Paris","John Lewis","","Medium Swing","C","","","0","0","*A{T44C^7   |C-7 F7 |Bb^7   |Bb-7 Eb7 |Ab^7   |D-7 G7#9 |N1C^7   |D-7 G7 }        |N2C^7   | x  ]*B[D-7   |G7   |C^7/E   |A7   |Y|D-7   |G7   |C^7(C#-7)  (F#7) |D-7 G7 ]*A[C^7   |C-7 F7 |Bb^7   |Bb-7 Eb7 |Ab^7   |D-7 G7#9 |C^7   |D-7 G7 Z"
"Again","Lionel Newman","","Ballad","G","","","0","0","[*AT44G^7, E-7 |A-7 D7 |B-7 E7 |A-7 D7 |B-7 E7b9 |Ah7 D7b9 |B7#5 E7b9 |A-7 D7 ][*AG^7, E-7 |A-7 D7 |B-7 E7 |A-7 D7 |B-7 E7b9 |Ah7 D7b9 |G^7   |D-7 G7 ][*BC^7,   |F9sus   |G6 G^7 |D-7 G7 |C^7   |F9sus   |B-7 E7b9 |A-7 D7 ][*CG^7, E-7 |A-7 D7 |B-7 E7 |A-7 D7 |B-7 E7b9 |Ah7 D7b9#5 |G^7   | x  Z "
"Agua De Beber","Antonio-Carlos Jobim","","Bossa Nova","D-","","","0","0","*i{T44D-7   |E7#9 A7b13 |D-7   |E7#9 A7b13 |D-7   |Bb^7   |D-7   | x  }*A[E7b9   |A7alt   |D-7   |G7   |G-7   |C7   |F^7   | x  |E7 Eb7 |D-7 Dbo7 |F7/C   |E7#9/B   |E7b9   |A7sus   |D-7   |D7b9   ]*B[G7   |G-7   |D-7   |D7b9   |G7   |G-7   |D-7   |A7b13   ]*C[D-7   |E7#9 A7b13 |D-7   |E7#9 A7b13 |D-7   |Bb^7   |D-7   | x  Z"
"Ahmid-6","Pat Metheny","","Even 8ths","C","","","0","0","[*AT44D-7   |C#-7   |   r|    |F#-7 B7 |E-7 A7 |G F |E- D-7 ||C^7   |B7   |Bb^7#11   |Ah7 D7b9 ||F#h7 B7b9 |Eh7 A7b9 |D-7 E-7 |F-7 Bb7 ||Eb9sus |x |Ab^9 |x |Ab7sus |x |Db^13 |x ||Dh7 G7b9 |C-7 F7 |F-7 Bb7 |Gh7 C7#9 ||F-7 F#-7 |G-7 sC-7 |T34lF#-7, sB7,|E-7,A7sus |T24A7sus |T44lA7sus   | x  [*BD-7   |C#-7   |D-7   |C#-7   |F#-7 B7 |E-7 A7 |A-7   |ppD7 |G^7 Bb7 |Eb^7 B7 ||E^7 G7 |C^7 Ab7 |Db^7 E7 |A^7 C7 ||F^7 |x |E-7 |x |F^7 |x |E-7 |x Z "
"Ain't Misbehavin'","Fats Waller","","Medium Swing","C","","","0","0","*A{T44C6 A7 |D-7 G7 |C6 C7/E |F6 F-6 |C6/E A7 |D-7 G7 |N1E7 A7 |D7 G7 }        |N2C6 F-6 |C6 E7 ]*B[A-   |F7   |D7   |A7   |G6 E7 |A-7 D7 |G6 A7 |D7 G7 ]*A[C6 A7 |D-7 G7 |C6 C7/E |F6 F-6 |C6/E A7 |D-7 G7 |C6 A-7 |D-7 G7 Z"
"Ain't She Sweet","Milton Ager","","Medium Up Swing","Eb","","","0","0","{*AT44Eb6 A9 |Bb7   |Eb6 A9 |Bb7   |Eb6 G7 |C7   |F7 Bb7 |N1Eb6 Bb7, }            |N2Eb7   ][*BAb7   | x  |Eb6   |Eb7   |Ab7   | x  |Eb6   |F-7 Bb7 ][*AEb6 A9 |Bb7   |Eb6 A9 |Bb7   |Eb G7 |C7   |F7 Bb7 |sEb,Ab7,lEb Z "
"Airegin","Sonny Rollins","","Up Tempo Swing","F-","","","0","0","*A[T44F-   |C7#9b5   |F-   |F7b9   |Bb-   |F7#9b5   |Bb-   | (Bb7)x  ]*B[Db^7(Bb-7)   |D-7 G7 |C^7   |C#-7 F#7 |B^7   |C-7 F7 |Bb^7   | x  |Bb-7   |Eb7   |Ab^7   |Gh7 C7b9 ]*A[F-   |C7#9b5   |F-   |F7b9   |Bb-   |F7#9b5   |Bb-   | (Bb7)x  ]*C[Db^7(Bb-7)   |D-7 G7 |Ch7   |F7   |Bb-7   |Eb7   |UAb^7   |Gh7 C7b9 Z"
"Airmail Special","Charlie Christian","","Medium Up Swing","C","","","0","0","[*iT44<*65 Head>C6   | x  |   r|    |   r|    |   r|    ][Co7   | x  |   r|    |Co7 Bo7 |Bbo7   |Ab7   |G7   ]<*18 Form: AABA>                {*AS<Solos>C C/E |F G |C C/E |F G |C C7 |F F#o7 |C/G   |C <Fine>  }[*BCo7   | x  |   r|    |Co7 Bo7 |Bbo7   |Ab7   |<D.S. al Fine>G7   Z "
"Aisha","McCoy Tyner","","Ballad","A-","","","0","0","{*AT44A-9   |G-9   |A-9   |F-9   |F-7 Bb7 |G-7 C7 |A-7, D7b9 |N1sG7,C7,F-,E7}            |N2G-7,C7,B-7,E7,][*BlA^7 D7#11 | x  |Db^7 Gb7#11 | x  |B^7 E7#11 | x  |Eb^7 Gb^7 |A^7 sB-7,E7][*AlA-9   |G-9   |A-9   |F-9   |F-7 Bb7 |G-7 C7 |A-7, D7b9,Q |sG7,C7,F-,E7Z        Y|QG-7,C7,F-7,Bb7,|<rit.....>Eb-7,Ab7,lGb13 Z "
"Alexander's Ragtime Band","Irving Berlin","","Medium Swing","F","","","0","0","[*AT44F^7   | x  |G7 C7 |F^7   |Bb^7   | x  | x  | x  ||F^7   | x  | x  | x  |G7   | x  |C7   |G-7 C7 ]Y[*BF^7   | x  |G7 C7 |F^7   |Bb^7   | x  | x  | x  ||F^7   |F7   |Bb^7   |Bo7   |F^7   | x  |C7   |F^7   Z "
"Alfie","Burt Bacharach","","Ballad","Bb","","","0","0","{*AT44Bb^7   |F7sus   |Bb^7   |D-7 G7 |C-7   |D-7 G-7 |C-7 F7sus |Bbo7   |N1F7sus   |F7 F7#5 }        [*BN2A-7   |Bb-/C C7 |A-7   |C7sus   |A-7   |Bb-/C C7 |F7sus   |F6 F7 ][*ABb^7   |F7sus   |Eh7 Eb7 |D-7 G-7 |Eh7 Eb7 |D-7 G-7 |C7#11   |C-7 F7sus |Bbo7   |F7sus   |Bo7   |C-9   |Bo7   |Bb^7   Z "
"Alfie's Theme","Sonny Rollins","","Medium Swing","Bb-","","","0","0","T44{*ABb-7 Bb-7/Ab |Gh7 Gb^7 |Bb-7/F Gh7 |Ch7 F7b9 |Bb-7 Bb-7/Ab |Gh7 Gb^7 |Bb-7/F Gh7 |sCh,F7,lBb-7 }[*BlBb-7 Ab7 |Gb7 F7b9 |Bb-7 Ab7 |Gb7 F7b9 |lBb-7 Ab7 |Gb7 F7b9 |Bb-7 Ab7 |Gb7 F7b9 ][*ABb-7 Bb-7/Ab |Gh7 Gb^7 |Bb-7/F Gh7 |Ch7 F7b9 |Bb-7 Bb-7/Ab |Gh7 Gb^7 |Bb-7/F Gh7 |sCh,F7,lBb-7 Z "
